"","x"
"370",15
"371",21
"372",3
"373",10
"374",7
"375",13
"376",7
"377",13
"378",17
"379",4
"380",22
"381",12
"382",6
"383",13
"384",16
"385",3
"386",11
"387",9
"388",2
"389",3
"390",6
"391",21
"392",10
"393",14
"394",20
"395",15
"396",18
"397",14
"398",4
"399",11
"400",9
"401",14
"402",15
"403",15
"404",11
"405",8
"406",5
"407",12
"408",13
"409",15
"410",21
"411",3
"412",4
"413",11
"414",21
"415",8
"416",24
"417",10
"418",21
"419",27
"420",6
"421",12
"422",17
"423",8
"424",11
"425",18
"426",27
"427",11
"428",23
"429",8
"430",21
"431",12
"432",19
"433",12
"434",37
"435",14
"436",12
"437",13
"438",15
"439",29
"440",10
"441",2
"442",12
"443",7
"444",8
"445",11
"446",17
"447",9
"448",14
"449",1
"450",25
"451",6
"452",4
"453",7
"454",10
"455",11
"456",7
"457",11
"458",6
"459",4
"460",8
"461",27
"462",23
"463",2
"464",11
"465",13
"466",14
"467",12
"468",5
"469",12
"470",1
"471",6
"472",10
"473",1
"474",6
"475",4
"476",9
"477",9
"478",11
"479",12
"480",18
"481",3
"482",3
"483",4
"484",5
"485",14
"486",5
"487",10
"488",6
"489",13
"490",19
"491",22
"492",9
"493",3
"494",10
"495",6
"496",18
"497",14
"498",5
"499",17
"500",9
"501",7
"502",12
"503",6
"504",17
"505",6
"506",18
"507",4
"508",8
"509",8
"510",9
"511",3
"512",3
"513",4
"514",5
"515",16
"516",14
"517",7
"518",8
"519",7
"520",13
"521",4
"522",15
"523",22
"524",13
"525",13
"526",7
"527",17
"528",0
"529",8
"530",14
"531",28
"532",9
"533",3
"534",6
"535",9
"536",26
"537",9
"538",9
"539",12
"540",17
"541",17
"542",4
"543",1
"544",32
"545",11
"546",20
"547",25
"548",3
"549",10
"550",17
"551",19
"552",1
"553",20
"554",17
"555",6
"556",3
"557",26
"558",8
"559",1
"560",3
"561",16
"562",6
"563",14
"564",2
"565",7
"566",13
"567",11
"568",1
"569",11
"570",26
"571",16
"572",5
"573",19
"574",11
"575",22
"576",15
"577",13
"578",18
"579",12
"580",5
"581",6
"582",6
"583",8
"584",6
"585",7
"586",9
"587",9
"588",15
"589",5
"590",8
"591",13
"592",1
"593",12
"594",5
"595",27
"596",6
"597",9
"598",1
"599",8
"600",14
"601",7
"602",13
"603",1
"604",4
"605",9
"606",12
"607",24
"608",2
"609",1
"610",13
"611",14
"612",17
"613",2
"614",9
"615",13
"616",20
"617",2
"618",14
"619",4
"620",22
"621",5
"622",2
"623",8
"624",15
"625",8
"626",3
"627",28
"628",14
"629",5
"630",10
"631",5
"632",2
"633",5
"634",9
"635",10
"636",8
"637",26
"638",8
"639",7
"640",3
"641",8
"642",19
"643",4
"644",22
"645",15
"646",13
"647",13
"648",11
"649",15
"650",7
"651",3
"652",11
"653",8
"654",10
"655",4
"656",8
"657",6
"658",16
"659",9
"660",1
"661",16
"662",16
"663",11
"664",9
"665",12
"666",5
"667",14
"668",20
"669",5
"670",20
"671",8
"672",22
"673",21
"674",23
"675",1
"676",1
"677",15
"678",6
"679",10
"680",16
"681",7
"682",4
"683",4
"684",11
"685",23
"686",3
"687",1
"688",8
"689",11
"690",18
"691",5
"692",3
"693",15
"694",13
"695",5
"696",4
"697",4
"698",7
"699",11
"700",6
"701",6
"702",6
"703",10
"704",5
"705",6
"706",13
"707",6
"708",10
"709",8
"710",20
"711",2
"712",14
"713",18
"714",13
"715",12
"716",3
"717",5
"718",22
"719",9
"720",14
"721",8
"722",4
"723",4
"724",18
"725",17
"726",6
"727",9
"728",7
"729",10
"730",1
"731",10
"732",6
"733",13
"734",7
"735",20
"736",21
"737",1
"738",25
"739",9
"740",3
"741",20
"742",8
"743",23
"744",5
"745",9
"746",6
"747",8
"748",10
"749",9
"750",10
"751",15
"752",11
"753",21
"754",7
"755",13
"756",18
"757",12
"758",2
"759",13
"760",9
"761",6
"762",15
"763",4
"764",18
"765",22
"766",4
"767",4
"768",17
"769",18
"770",8
"771",25
"772",8
"773",15
"774",4
"775",4
"776",5
"777",15
"778",4
"779",7
"780",2
"781",15
"782",19
"783",12
"784",40
"785",20
"786",10
"787",6
"788",14
"789",5
"790",15
"791",8
"792",8
"793",7
"794",14
"795",12
"796",14
"797",7
"798",17
"799",9
"800",9
"801",9
"802",13
"803",4
"804",12
"805",6
"806",7
"807",8
"808",5
"809",14
"810",18
"811",4
"812",6
"813",14
"814",7
"815",31
"816",25
"817",17
"818",9
"819",5
"820",32
"821",7
"822",2
"823",17
"824",10
"825",4
"826",10
"827",14
"828",5
"829",7
"830",28
"831",12
"832",7
"833",1
"834",14
"835",34
"836",4
"837",10
"838",11
"839",13
"840",17
"841",8
"842",4
"843",11
"844",13
"845",3
"846",21
"847",6
"848",21
"849",13
"850",11
"851",10
"852",19
"853",18
"854",1
"855",5
"856",3
"857",12
"858",5
"859",14
"860",11
"861",3
"862",5
"863",25
"864",13
"865",14
"866",7
"867",22
"868",22
"869",14
"870",9
"871",5
"872",16
"873",3
"874",1
"875",5
"876",12
"877",12
"878",6
"879",14
"880",11
"881",4
"882",7
"883",4
"884",11
"885",3
"886",17
"887",7
"888",17
"889",16
"890",11
"891",7
"892",4
"893",13
"894",21
"895",18
"896",3
"897",9
"898",10
"899",11
"900",8
"901",1
"902",7
"903",22
"904",20
"905",7
"906",17
"907",6
"908",14
"909",19
"910",24
"911",13
"912",14
"913",10
"914",14
"915",7
"916",0
"917",10
"918",12
"919",14
"920",6
"921",7
"922",15
"923",5
"924",3
"925",10
"926",4
"927",15
"928",5
"929",7
"930",8
"931",20
"932",11
"933",3
"934",16
"935",18
"936",3
"937",13
"938",2
"939",10
"940",10
"941",13
"942",11
"943",4
"944",17
"945",9
"946",6
"947",7
"948",11
"949",6
"950",9
"951",8
"952",15
"953",10
"954",5
"955",7
"956",6
"957",5
"958",22
"959",12
"960",14
"961",8
"962",14
"963",13
"964",4
"965",3
"966",14
"967",29
"968",5
"969",7
"970",1
"971",12
"972",2
"973",3
"974",6
"975",7
"976",3
"977",2
"978",14
"979",16
"980",27
"981",1
"982",1
"983",3
"984",7
"985",12
"986",15
"987",1
"988",9
"989",31
"990",2
"991",7
"992",1
"993",4
"994",18
"995",1
"996",8
"997",9
"998",9
"999",12
"1000",26
"1001",3
"1002",10
"1003",5
"1004",21
"1005",19
"1006",24
"1007",9
"1008",4
"1009",13
"1010",1
"1011",22
"1012",4
"1013",3
"1014",23
"1015",14
"1016",11
"1017",13
"1018",6
"1019",7
"1020",9
"1021",1
"1022",5
"1023",3
"1024",18
"1025",17
"1026",5
"1027",8
"1028",11
"1029",14
"1030",10
"1031",7
"1032",13
"1033",24
"1034",10
"1035",7
"1036",10
"1037",2
"1038",26
"1039",8
"1040",6
"1041",20
"1042",4
"1043",4
"1044",7
"1045",12
"1046",1
"1047",15
"1048",4
"1049",1
"1050",14
"1051",16
"1052",17
"1053",4
"1054",11
"1055",9
"1056",2
"1057",4
"1058",8
"1059",15
"1060",12
"1061",7
"1062",5
"1063",21
"1064",19
"1065",7
"1066",23
"1067",3
"1068",29
"1069",13
"1070",10
"1071",6
"1072",7
"1073",17
"1074",12
"1075",17
"1076",1
"1077",14
"1078",3
"1079",9
"1080",34
"1081",2
"1082",7
"1083",25
"1084",4
"1085",17
"1086",16
"1087",17
"1088",13
"1089",15
"1090",13
"1091",23
"1092",11
"1093",11
"1094",2
"1095",11
"1096",8
"1097",14
"1098",11
"1099",10
"1100",10
"1101",20
"1102",10
"1103",17
"1104",17
"1105",26
"1106",9
"1107",13
"1108",10
"1109",1
"1110",12
"1111",9
"1112",8
"1113",17
"1114",19
"1115",9
"1116",8
"1117",6
"1118",10
"1119",5
"1120",12
"1121",6
"1122",2
"1123",8
"1124",6
"1125",21
"1126",10
"1127",19
"1128",19
"1129",13
"1130",9
"1131",9
"1132",7
"1133",11
"1134",4
"1135",10
"1136",15
"1137",8
"1138",3
"1139",9
"1140",18
"1141",12
"1142",7
"1143",7
"1144",15
"1145",14
"1146",18
"1147",13
"1148",12
"1149",5
"1150",1
"1151",6
"1152",5
"1153",13
"1154",17
"1155",9
"1156",4
"1157",8
"1158",1
"1159",12
"1160",11
"1161",2
"1162",12
"1163",6
"1164",8
"1165",11
"1166",2
"1167",28
"1168",9
"1169",8
"1170",16
"1171",29
"1172",4
"1173",25
"1174",25
"1175",18
"1176",5
"1177",12
"1178",0
"1179",12
"1180",7
"1181",15
"1182",13
"1183",12
"1184",11
"1185",20
"1186",18
"1187",6
"1188",6
"1189",1
"1190",3
"1191",1
"1192",6
"1193",12
"1194",14
"1195",21
"1196",22
"1197",2
"1198",8
"1199",7
"1200",3
"1201",3
"1202",1
"1203",8
"1204",8
"1205",12
"1206",2
"1207",23
"1208",9
"1209",9
"1210",9
"1211",7
"1212",12
"1213",11
"1214",11
"1215",18
"1216",3
"1217",20
"1218",18
"1219",5
"1220",8
"1221",5
"1222",19
"1223",21
"1224",12
"1225",2
"1226",6
"1227",4
"1228",9
"1229",5
"1230",17
"1231",6
"1232",1
"1233",12
"1234",2
"1235",1
"1236",9
"1237",25
"1238",1
"1239",17
"1240",14
"1241",18
"1242",7
"1243",14
"1244",5
"1245",22
"1246",17
"1247",7
"1248",20
"1249",2
"1250",8
"1251",4
"1252",7
"1253",14
"1254",16
"1255",7
"1256",4
"1257",19
"1258",16
"1259",10
"1260",22
"1261",22
"1262",16
"1263",15
"1264",14
"1265",4
"1266",14
"1267",27
"1268",4
"1269",20
"1270",5
"1271",16
"1272",8
"1273",5
"1274",2
"1275",6
"1276",14
"1277",29
"1278",14
"1279",15
"1280",10
"1281",3
"1282",23
"1283",14
"1284",14
"1285",1
"1286",11
"1287",21
"1288",6
"1289",4
"1290",6
"1291",16
"1292",10
"1293",12
"1294",8
"1295",9
"1296",8
"1297",6
"1298",13
"1299",10
"1300",2
"1301",18
"1302",9
"1303",8
"1304",9
"1305",4
"1306",16
"1307",19
"1308",6
"1309",15
"1310",4
"1311",2
"1312",6
"1313",20
"1314",3
"1315",2
"1316",11
"1317",9
"1318",5
"1319",5
"1320",9
"1321",7
"1322",32
"1323",9
"1324",4
"1325",23
"1326",9
"1327",6
"1328",3
"1329",1
"1330",10
"1331",3
"1332",25
"1333",18
"1334",10
"1335",7
"1336",21
"1337",1
"1338",27
"1339",1
"1340",5
"1341",15
"1342",3
"1343",6
"1344",1
"1345",15
"1346",9
"1347",7
"1348",2
"1349",13
"1350",2
"1351",12
"1352",3
"1353",5
"1354",5
"1355",26
"1356",7
"1357",2
"1358",13
"1359",3
"1360",9
"1361",13
"1362",6
"1363",31
"1364",24
"1365",6
"1366",3
"1367",10
"1368",6
"1369",18
"1370",0
"1371",17
"1372",4
"1373",2
"1374",1
"1375",8
"1376",13
"1377",1
"1378",3
"1379",6
"1380",4
"1381",8
"1382",17
"1383",8
"1384",12
"1385",19
"1386",19
"1387",15
"1388",6
"1389",10
"1390",8
"1391",2
"1392",21
"1393",9
"1394",18
"1395",5
"1396",8
"1397",20
"1398",4
"1399",10
"1400",35
"1401",23
"1402",23
"1403",21
"1404",6
"1405",2
"1406",13
"1407",9
"1408",6
"1409",12
"1410",9
"1411",5
"1412",7
"1413",1
"1414",2
"1415",7
"1416",4
"1417",13
"1418",3
"1419",11
"1420",5
"1421",18
"1422",14
"1423",13
"1424",8
"1425",10
"1426",4
"1427",5
"1428",9
"1429",15
"1430",9
"1431",4
"1432",6
"1433",15
"1434",4
"1435",3
"1436",4
"1437",14
"1438",16
"1439",18
"1440",13
"1441",7
"1442",8
"1443",16
"1444",14
"1445",17
"1446",8
"1447",22
"1448",12
"1449",12
"1450",1
"1451",28
"1452",13
"1453",8
"1454",9
"1455",9
"1456",8
"1457",6
"1458",13
"1459",13
"1460",2
"1461",16
"1462",14
"1463",13
"1464",5
"1465",8
"1466",25
"1467",1
"1468",28
"1469",9
"1470",25
"1471",14
"1472",3
"1473",4
"1474",4
"1475",4
"1476",3
"1477",13
"1478",6
"1479",25
"1480",9
"1481",10
"1482",11
"1483",12
"1484",11
"1485",6
"1486",10
"1487",15
"1488",8
"1489",24
"1490",18
"1491",4
"1492",2
"1493",24
"1494",9
"1495",6
"1496",9
"1497",15
"1498",6
"1499",9
"1500",16
"1501",15
"1502",8
"1503",6
"1504",20
"1505",5
"1506",11
"1507",9
"1508",5
"1509",18
"1510",11
"1511",25
"1512",13
"1513",2
"1514",5
"1515",23
"1516",10
"1517",2
"1518",15
"1519",10
"1520",1
"1521",5
"1522",17
"1523",11
"1524",28
"1525",6
"1526",5
"1527",11
"1528",3
"1529",3
"1530",8
"1531",20
"1532",9
"1533",7
"1534",4
"1535",20
"1536",4
"1537",2
"1538",13
"1539",14
"1540",10
"1541",20
"1542",4
"1543",16
"1544",9
"1545",1
"1546",24
"1547",1
"1548",20
"1549",19
"1550",6
"1551",3
"1552",27
"1553",13
"1554",10
"1555",6
"1556",1
"1557",2
"1558",4
"1559",6
"1560",11
"1561",11
"1562",10
"1563",7
"1564",8
"1565",15
"1566",5
"1567",12
"1568",14
"1569",6
"1570",7
"1571",9
"1572",12
"1573",8
"1574",13
"1575",8
"1576",17
"1577",2
"1578",3
"1579",11
"1580",26
"1581",24
"1582",9
"1583",9
"1584",7
"1585",28
"1586",11
"1587",10
"1588",3
"1589",15
"1590",31
"1591",17
"1592",3
"1593",13
"1594",11
"1595",7
"1596",14
"1597",14
"1598",19
"1599",15
"1600",8
"1601",10
"1602",5
"1603",2
"1604",19
"1605",15
"1606",15
"1607",7
"1608",5
"1609",18
"1610",2
"1611",1
"1612",14
"1613",8
"1614",4
"1615",8
"1616",12
"1617",5
"1618",5
"1619",11
"1620",24
"1621",4
"1622",7
"1623",18
"1624",17
"1625",7
"1626",22
"1627",4
"1628",6
"1629",4
"1630",3
"1631",9
"1632",11
"1633",4
"1634",19
"1635",7
"1636",3
"1637",2
"1638",13
"1639",25
"1640",4
"1641",12
"1642",7
"1643",12
"1644",12
"1645",20
"1646",15
"1647",21
"1648",1
"1649",9
"1650",38
"1651",21
"1652",2
"1653",8
"1654",18
"1655",5
"1656",12
"1657",15
"1658",15
"1659",4
"1660",2
"1661",3
"1662",19
"1663",1
"1664",4
"1665",9
"1666",17
"1667",16
"1668",5
"1669",6
"1670",5
"1671",4
"1672",13
"1673",17
"1674",3
"1675",10
"1676",10
"1677",10
"1678",7
"1679",9
"1680",9
"1681",19
"1682",2
"1683",7
"1684",10
"1685",11
"1686",1
"1687",12
"1688",7
"1689",4
"1690",19
"1691",16
"1692",13
"1693",3
"1694",18
"1695",1
"1696",20
"1697",8
"1698",13
"1699",8
"1700",4
"1701",1
"1702",10
"1703",16
"1704",15
"1705",21
"1706",2
"1707",9
"1708",17
"1709",19
"1710",12
"1711",15
"1712",1
"1713",13
"1714",17
"1715",4
"1716",5
"1717",20
"1718",2
"1719",14
"1720",11
"1721",8
"1722",3
"1723",6
"1724",6
"1725",3
"1726",2
"1727",10
"1728",13
"1729",20
"1730",9
"1731",3
"1732",11
"1733",14
"1734",20
"1735",14
"1736",8
"1737",25
"1738",10
"1739",7
"1740",7
"1741",6
"1742",21
"1743",8
"1744",5
"1745",5
"1746",10
"1747",17
"1748",15
"1749",8
"1750",11
"1751",10
"1752",5
"1753",1
"1754",8
"1755",26
"1756",1
"1757",13
"1758",6
"1759",19
"1760",11
"1761",17
"1762",9
"1763",3
"1764",6
"1765",3
"1766",7
"1767",9
"1768",13
"1769",11
"1770",10
"1771",10
"1772",20
"1773",22
"1774",2
"1775",5
"1776",7
"1777",15
"1778",17
"1779",9
"1780",20
"1781",10
"1782",11
"1783",10
"1784",5
"1785",8
"1786",6
"1787",19
"1788",17
"1789",2
"1790",5
"1791",18
"1792",8
"1793",15
"1794",2
"1795",9
"1796",20
"1797",6
"1798",15
"1799",15
"1800",0
"1801",4
"1802",19
"1803",15
"1804",14
"1805",10
"1806",4
"1807",7
"1808",9
"1809",14
"1810",9
"1811",20
"1812",15
"1813",3
"1814",6
"1815",5
"1816",0
"1817",4
"1818",10
"1819",10
"1820",17
"1821",32
"1822",5
"1823",12
"1824",13
"1825",2
"1826",5
"1827",7
"1828",11
"1829",4
"1830",0
"1831",17
"1832",7
"1833",8
"1834",7
"1835",4
"1836",6
"1837",11
"1838",2
"1839",3
"1840",15
"1841",34
"1842",16
"1843",7
"1844",12
"1845",18
"1846",15
"1847",11
"1848",3
"1849",3
"1850",5
"1851",10
"1852",4
"1853",6
"1854",9
"1855",13
"1856",12
"1857",16
"1858",23
"1859",5
"1860",9
"1861",9
"1862",17
"1863",16
"1864",10
"1865",4
"1866",3
"1867",10
"1868",11
"1869",24
"1870",9
"1871",9
"1872",12
"1873",26
"1874",4
"1875",5
"1876",16
"1877",5
"1878",17
"1879",18
"1880",20
"1881",35
"1882",6
"1883",6
"1884",16
"1885",16
"1886",9
"1887",15
"1888",15
"1889",8
"1890",23
"1891",19
"1892",5
"1893",19
"1894",9
"1895",5
"1896",15
"1897",4
"1898",1
"1899",1
"1900",14
"1901",18
"1902",4
"1903",5
"1904",13
"1905",8
"1906",7
"1907",4
"1908",8
"1909",8
"1910",2
"1911",14
"1912",6
"1913",28
"1914",13
"1915",9
"1916",8
"1917",11
"1918",7
"1919",22
"1920",5
"1921",14
"1922",3
"1923",3
"1924",6
"1925",19
"1926",18
"1927",18
"1928",6
"1929",0
"1930",18
"1931",10
"1932",12
"1933",4
"1934",25
"1935",1
"1936",20
"1937",21
"1938",17
"1939",14
"1940",3
"1941",4
"1942",16
"1943",7
"1944",6
"1945",23
"1946",22
"1947",10
"1948",12
"1949",17
"1950",5
"1951",16
"1952",23
"1953",7
"1954",10
"1955",5
"1956",5
"1957",1
"1958",8
"1959",0
"1960",11
"1961",11
"1962",4
"1963",15
"1964",14
"1965",10
"1966",18
"1967",17
"1968",20
"1969",18
"1970",21
"1971",1
"1972",3
"1973",12
"1974",7
"1975",9
"1976",10
"1977",12
"1978",13
"1979",6
"1980",5
"1981",13
"1982",6
"1983",13
"1984",15
"1985",4
"1986",7
"1987",14
"1988",21
"1989",5
"1990",9
"1991",1
"1992",4
"1993",4
"1994",3
"1995",14
"1996",11
"1997",20
"1998",12
"1999",9
"2000",12
"2001",12
"2002",7
"2003",13
"2004",17
"2005",14
"2006",14
"2007",15
"2008",5
"2009",7
"2010",7
"2011",10
"2012",6
"2013",26
"2014",13
"2015",20
"2016",5
"2017",20
"2018",10
"2019",3
"2020",4
"2021",10
"2022",9
"2023",9
"2024",25
"2025",15
"2026",12
"2027",2
"2028",3
"2029",12
"2030",3
"2031",6
"2032",11
"2033",10
"2034",16
"2035",22
"2036",3
"2037",11
"2038",11
"2039",12
"2040",6
"2041",10
"2042",10
"2043",6
"2044",7
"2045",16
"2046",23
"2047",1
"2048",5
"2049",12
"2050",7
"2051",0
"2052",4
"2053",4
"2054",6
"2055",13
"2056",6
"2057",5
"2058",15
"2059",2
"2060",9
"2061",18
"2062",6
"2063",7
"2064",2
"2065",7
"2066",14
"2067",11
"2068",22
"2069",11
"2070",4
"2071",9
"2072",13
"2073",15
"2074",4
"2075",6
"2076",9
"2077",6
"2078",11
"2079",3
"2080",2
"2081",4
"2082",14
"2083",11
"2084",4
"2085",5
"2086",14
"2087",10
"2088",11
"2089",3
"2090",4
"2091",26
"2092",1
"2093",17
"2094",27
"2095",20
"2096",10
"2097",17
"2098",9
"2099",15
"2100",8
"2101",9
"2102",6
"2103",10
"2104",22
"2105",14
"2106",9
"2107",2
"2108",7
"2109",10
"2110",7
"2111",9
"2112",8
"2113",9
"2114",17
"2115",5
"2116",10
"2117",9
"2118",14
"2119",7
"2120",4
"2121",7
"2122",18
"2123",2
"2124",6
"2125",6
"2126",4
"2127",21
"2128",2
"2129",13
"2130",14
"2131",2
"2132",1
"2133",6
"2134",14
"2135",9
"2136",18
"2137",12
"2138",10
"2139",26
"2140",23
"2141",0
"2142",19
"2143",13
"2144",1
"2145",20
"2146",1
"2147",9
"2148",12
"2149",10
"2150",8
"2151",2
"2152",19
"2153",19
"2154",12
"2155",14
"2156",11
"2157",1
"2158",11
"2159",6
"2160",18
"2161",7
"2162",2
"2163",2
"2164",15
"2165",16
"2166",2
"2167",13
"2168",11
"2169",5
"2170",9
"2171",9
"2172",18
"2173",16
"2174",5
"2175",14
"2176",8
"2177",6
"2178",19
"2179",11
"2180",6
"2181",3
"2182",5
"2183",3
"2184",12
"2185",30
"2186",9
"2187",2
"2188",9
"2189",11
"2190",14
"2191",7
"2192",15
"2193",9
"2194",6
"2195",16
"2196",5
"2197",12
"2198",9
"2199",15
"2200",15
"2201",3
"2202",4
"2203",8
"2204",15
"2205",21
"2206",9
"2207",0
"2208",25
"2209",6
"2210",13
"2211",16
"2212",7
"2213",9
"2214",20
"2215",17
"2216",6
"2217",11
"2218",15
"2219",14
"2220",4
"2221",10
"2222",18
"2223",6
"2224",19
"2225",20
"2226",14
"2227",8
"2228",12
"2229",0
"2230",7
"2231",12
"2232",10
"2233",5
"2234",6
"2235",3
"2236",9
"2237",20
"2238",2
"2239",10
"2240",26
"2241",10
"2242",13
"2243",6
"2244",5
"2245",9
"2246",0
"2247",4
"2248",2
"2249",10
"2250",21
"2251",19
"2252",4
"2253",8
"2254",20
"2255",6
"2256",12
"2257",3
"2258",8
"2259",9
"2260",2
"2261",8
"2262",7
"2263",6
"2264",11
"2265",22
"2266",3
"2267",23
"2268",2
"2269",7
"2270",11
"2271",31
"2272",2
"2273",14
"2274",27
"2275",5
"2276",10
"2277",16
"2278",2
"2279",16
"2280",0
"2281",12
"2282",8
"2283",8
"2284",4
"2285",8
"2286",5
"2287",5
"2288",12
"2289",5
"2290",4
"2291",6
"2292",5
"2293",12
"2294",10
"2295",10
"2296",7
"2297",6
"2298",6
"2299",26
"2300",15
"2301",14
"2302",4
"2303",6
"2304",1
"2305",13
"2306",21
"2307",4
"2308",14
"2309",8
"2310",19
"2311",33
"2312",27
"2313",11
"2314",14
"2315",7
"2316",19
"2317",34
"2318",7
"2319",3
"2320",1
"2321",10
"2322",12
"2323",1
"2324",7
"2325",7
"2326",4
"2327",3
"2328",1
"2329",6
"2330",3
"2331",6
"2332",27
"2333",9
"2334",19
"2335",14
"2336",8
"2337",5
"2338",15
"2339",5
"2340",6
"2341",9
"2342",18
"2343",4
"2344",5
"2345",32
"2346",3
"2347",21
"2348",16
"2349",17
"2350",7
"2351",4
"2352",11
"2353",7
"2354",4
"2355",12
"2356",1
"2357",5
"2358",18
"2359",26
"2360",15
"2361",7
"2362",13
"2363",16
"2364",10
"2365",5
"2366",7
"2367",17
"2368",8
"2369",22
"2370",2
"2371",13
"2372",19
"2373",13
"2374",7
"2375",12
"2376",16
"2377",4
"2378",1
"2379",9
"2380",6
"2381",13
"2382",9
"2383",17
"2384",13
"2385",6
"2386",4
"2387",6
"2388",8
"2389",14
"2390",29
"2391",6
"2392",21
"2393",15
"2394",6
"2395",6
"2396",3
"2397",8
"2398",8
"2399",16
"2400",11
"2401",4
"2402",7
"2403",14
"2404",22
"2405",9
"2406",12
"2407",9
"2408",2
"2409",10
"2410",4
"2411",12
"2412",19
"2413",11
"2414",1
"2415",7
"2416",6
"2417",7
"2418",9
"2419",10
"2420",24
"2421",5
"2422",5
"2423",10
"2424",13
"2425",5
"2426",20
"2427",4
"2428",15
"2429",8
"2430",1
"2431",21
"2432",13
"2433",13
"2434",8
"2435",7
"2436",22
"2437",16
"2438",17
"2439",4
"2440",22
"2441",7
"2442",4
"2443",19
"2444",7
"2445",6
"2446",2
"2447",7
"2448",34
"2449",26
"2450",16
"2451",17
"2452",4
"2453",5
"2454",8
"2455",10
"2456",17
"2457",3
"2458",6
"2459",6
"2460",4
"2461",8
"2462",19
"2463",13
"2464",3
"2465",16
"2466",16
"2467",9
"2468",10
"2469",7
"2470",13
"2471",9
"2472",20
"2473",20
"2474",7
"2475",1
"2476",14
"2477",13
"2478",9
"2479",4
"2480",10
"2481",5
"2482",11
"2483",9
"2484",3
"2485",9
"2486",19
"2487",10
"2488",14
"2489",19
"2490",15
"2491",16
"2492",16
"2493",29
"2494",25
"2495",22
"2496",3
"2497",4
"2498",3
